title,slug,year,description,cover_image_url,featured,visible,ordering
Carmen Mola Series: Book Covers,carmen-mola,2023,Subtle enough for the bedside table. Memorable enough to haunt you.,https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1779895017/carmen-mola-cover_wjbos6.png,1,1,14
Deck Design,decks,2025,Letting structure speak even before the presenter does.,https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1780054304/decks-cover-2_w5geun.png,1,1,7
Face Mask Packaging Design,rousky,2022,A small design gesture for unsettling times.,https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1780046454/rousky-cover_il5xej.png,0,1,0
Finepack: Printed Materials,finepack-print,2022,Structure and clarity for the documents that run the business.,https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1779895043/finepack-print-cover_takjbb.png,1,1,2
Finepack: Rebranding,finepack-brand,2022,Every box carries a story.,https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1780260050/finepack-brand-cover_efrnrl.png,1,1,15
Hotel Atlantic: Book Cover,hotel-atlantic,2023,"When your life gets torn apart by war, can you still make it home?",https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1780259792/hotel-atlantic-cover_xhb7he.png,1,1,10
Jules Wake Series: Book Covers,jules-wake,2024,"Fresh starts, friendships, and unexpected happiness found in stories set all around the world.",https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1780264156/jules-wake-cover1_agdel1.png,1,1,5
"Kniha, kterou posypal hvězdný prach: Book Cover",kniha-kterou,2023,"An adventurous, exciting and slightly ridiculous baloon trip into the history of the publishing industry.",https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1779895063/kniha-kterou-cover_d613ka.png,1,1,11
Můj bratr: Book Cover,muj-bratr,2024,"The harsh reality of the countryside, where alcohol has ruled families for generations and no one cares about what happens behind closed doors.",https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1780259791/muj-bratr-cover_oudohy.png,1,1,12
Pražačka na vsi: Book Cover,prazacka,2023,"While some people discover themselves in therapy or travelling the world, Brenda - left to her own devices - finds her true self in the village.",https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1780259793/prazacka-cover_nbinqy.png,1,1,4
"Příběhy, na které se nezapomíná: Book Cover",pribehy,2022,"Remarkable lives, hiding in plain sight.",https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1780259789/prazacka-cover-1_jq0fon.png,1,1,6
Schovavana: Book Cover,schovavana,2022,Every valley has a way out. Sometimes it's the most inconvenient person imaginable.,https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1780259791/schovavana-cover_f5oym5.png,0,1,0
U Hokynare Brand and Print Work,uhokynare,2021,"Organic, handmade, local.",https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1780865016/uhokynare-cover_ihtfha.png,1,1,1
Wrike: Banners and Ads,wrike-digital,2025,Digital assets that stretch the brand without breaking it.,https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1780054316/digital-cover_krxtfy.png,1,1,9
Wrike: Icon Redesing,icon-redesign,2025,A balancing act between clarity and character within brand's smallest shapes.,https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1780057057/icons-cover_riw7rz.png,0,1,0
Wrike: Printed Handouts,wrike-handouts,2025,"Handouts, banners, and leave-behinds: designed to be picked up and remembered.",https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1779895090/wrike-handouts-cover_rezxja.png,1,1,8
Wrike: Research Report,research-report,2024,Findings with a board to play on.,https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1779895077/research-report-cover_rq4jdf.png,1,1,3
Wrike: Year in Review 2025,year-in-review,2025,"Your year, by the numbers.",https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1780262628/year-in-review-cover_embhve.png,0,1,0
Země na talíři: Brand and Print,zeme-na-taliri,2021,"Education, community, and a reason to stay hopeful.",https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1780260887/image_6483441_u1utfy.jpg,0,1,0
Zichovec: Web Design,zichovec,2022,Small craft brewery with big personality.,https://res.cloudinary.com/dl7e6e4ic/image/upload/q_auto/f_auto/v1779895109/zichovec-cover_q7f8ew.png,1,1,13
